;mouse;age;day;population;label;;;hex color
MID4;m11;8w;d0;biopsy;m11_biopsy_8w_d0;;;#0ea122
MID55;m11;8w;d0;Ly6c+YFP+;m11_Ly6c+YFP+_8w_d0;;;#fcbb2d
MID12;m11;8w;d0;Ly6c+YFP-;m11_Ly6c+YFP-_8w_d0;;;#0919ad
MID57;m11;8w;d0;Ly6c-YFP+;m11_Ly6c-YFP+_8w_d0;;;#e80707
MID58;m11;8w;d0;Ly6c-YFP-;m11_Ly6c-YFP-_8w_d0;;;#1ba8e0
MID1;m12;8w;d0;biopsy;m12_biopsy_8w_d0;;;#0ea122
MID59;m12;8w;d0;Ly6c+YFP+;m12_Ly6c+YFP+_8w_d0;;;#fcbb2d
MID60;m12;8w;d0;Ly6c+YFP-;m12_Ly6c+YFP-_8w_d0;;;#0919ad
MID61;m12;8w;d0;Ly6c-YFP+;m12_Ly6c-YFP+_8w_d0;;;#e80707
MID62;m12;8w;d0;Ly6c-YFP-;m12_Ly6c-YFP-_8w_d0;;;#1ba8e0
MID2;m13;8w;d0;biopsy;m13_biopsy_8w_d0;;;#0ea122
MID23;m13;8w;d0;Ly6c+YFP+;m13_Ly6c+YFP+_8w_d0;;;#fcbb2d
MID24;m13;8w;d0;Ly6c+YFP-;m13_Ly6c+YFP-_8w_d0;;;#0919ad
MID25;m13;8w;d0;Ly6c-YFP+;m13_Ly6c-YFP+_8w_d0;;;#e80707
MID26;m13;8w;d0;Ly6c-YFP-;m13_Ly6c-YFP-_8w_d0;;;#1ba8e0
MID3;m14;8w;d0;biopsy;m14_biopsy_8w_d0;;;#0ea122
MID28;m14;8w;d0;Ly6c+YFP-;m14_Ly6c+YFP-_8w_d0;;;#0919ad
MID29;m14;8w;d0;Ly6c-YFP+;m14_Ly6c-YFP+_8w_d0;;;#e80707
MID30;m14;8w;d0;Ly6c-YFP-;m14_Ly6c-YFP-_8w_d0;;;#1ba8e0
MID11;m28;3w;d90;biopsy;m28_biopsy_3w_d90;;;#0ea122
MID13;m29;3w;d90;biopsy;m29_biopsy_3w_d90;;;#0ea122
MID14;m30;8w;d90;biopsy;m30_biopsy_8w_d90;;;#0ea122
MID51;m30;9w;d90;Ly6c+YFP+;m30_Ly6c+YFP+_9w_d90;;;#fcbb2d
MID52;m30;9w;d90;Ly6c+YFP-;m30_Ly6c+YFP-_9w_d90;;;#0919ad
MID53;m30;9w;d90;Ly6c-YFP+;m30_Ly6c-YFP+_9w_d90;;;#e80707
MID54;m30;9w;d90;Ly6c-YFP-;m30_Ly6c-YFP-_9w_d90;;;#1ba8e0
MID16;m31;8w;d90;biopsy;m31_biopsy_8w_d90;;;#0ea122
MID35;m31;8w;d90;Ly6c+YFP+;m31_Ly6c+YFP+_8w_d90;;;#fcbb2d
MID36;m31;8w;d90;Ly6c+YFP-;m31_Ly6c+YFP-_8w_d90;;;#0919ad
MID38;m31;8w;d90;Ly6c-YFP-;m31_Ly6c-YFP-_8w_d90;;;#1ba8e0
MID15;m32;8w;d90;biopsy;m32_biopsy_8w_d90;;;#0ea122
MID39;m32;9w;d90;Ly6c+YFP+;m32_Ly6c+YFP+_9w_d90;;;#fcbb2d
MID40;m32;9w;d90;Ly6c+YFP-;m32_Ly6c+YFP-_9w_d90;;;#0919ad
MID42;m32;9w;d90;Ly6c-YFP-;m32_Ly6c-YFP-_9w_d90;;;#1ba8e0
MID7;m36;3w;d90;biopsy;m36_biopsy_3w_d90;;;#0ea122
MID8;m37;3w;d90;biopsy;m37_biopsy_3w_d90;;;#0ea122
MID63;m37;3w;d90;Ly6c+YFP+;m37_Ly6c+YFP+_3w_d90;;;#fcbb2d
MID64;m37;3w;d90;Ly6c+YFP-;m37_Ly6c+YFP-_3w_d90;;;#0919ad
MID65;m37;3w;d90;Ly6c-YFP+;m37_Ly6c-YFP+_3w_d90;;;#e80707
MID66;m37;3w;d90;Ly6c-YFP-;m37_Ly6c-YFP-_3w_d90;;;#1ba8e0
MID9;m38;3w;d90;biopsy;m38_biopsy_3w_d90;;;#0ea122
MID10;m39;3w;d90;biopsy;m39_biopsy_3w_d90;;;#0ea122
MID67;m39;3w;d90;Ly6c+YFP+;m39_Ly6c+YFP+_3w_d90;;;#fcbb2d
MID68;m39;3w;d90;Ly6c+YFP-;m39_Ly6c+YFP-_3w_d90;;;#0919ad
MID69;m39;3w;d90;Ly6c-YFP+;m39_Ly6c-YFP+_3w_d90;;;#e80707
MID18;m39;3w;d90;Ly6c-YFP-;m39_Ly6c-YFP-_3w_d90;;;#1ba8e0
MID5;m42;3w;d0;biopsy;m42_biopsy_3w_d0;;;#0ea122
MID43;m42;3w;d0;Ly6c+YFP+;m42_Ly6c+YFP+_3w_d0;;;#fcbb2d
MID44;m42;3w;d0;Ly6c+YFP-;m42_Ly6c+YFP-_3w_d0;;;#0919ad
MID45;m42;3w;d0;Ly6c-YFP+;m42_Ly6c-YFP+_3w_d0;;;#e80707
MID46;m42;3w;d0;Ly6c-YFP-;m42_Ly6c-YFP-_3w_d0;;;#1ba8e0
MID6;m43;3w;d0;biopsy;m43_biopsy_3w_d0;;;#0ea122
MID47;m43;3w;d0;Ly6c+YFP+;m43_Ly6c+YFP+_3w_d0;;;#fcbb2d
MID48;m43;3w;d0;Ly6c+YFP-;m43_Ly6c+YFP-_3w_d0;;;#0919ad
MID49;m43;3w;d0;Ly6c-YFP+;m43_Ly6c-YFP+_3w_d0;;;#e80707
MID50;m43;3w;d0;Ly6c-YFP-;m43_Ly6c-YFP-_3w_d0;;;#1ba8e0
MID17;m53;8w;d90;biopsy;m53_biopsy_8w_d90;;;#0ea122
MID31;m53;8w;d90;Ly6c+YFP+;m53_Ly6c+YFP+_8w_d90;;;#fcbb2d
MID32;m53;8w;d90;Ly6c+YFP-;m53_Ly6c+YFP-_8w_d90;;;#0919ad
MID33;m53;8w;d90;Ly6c-YFP+;m53_Ly6c-YFP+_8w_d90;;;#e80707
MID34;m53;8w;d90;Ly6c-YFP-;m53_Ly6c-YFP-_8w_d90;;;#1ba8e0
