Unnamed: 0,hex color
MID4,#0ea122
MID55,#fcbb2d
MID12,#0919ad
MID57,#e80707
MID58,#1ba8e0
MID1,#0ea122
MID59,#fcbb2d
MID60,#0919ad
MID61,#e80707
MID62,#1ba8e0
MID2,#0ea122
MID23,#fcbb2d
MID24,#0919ad
MID25,#e80707
MID26,#1ba8e0
MID3,#0ea122
MID28,#0919ad
MID29,#e80707
MID30,#1ba8e0
MID11,#0ea122
MID13,#0ea122
MID14,#0ea122
MID51,#fcbb2d
MID52,#0919ad
MID53,#e80707
MID54,#1ba8e0
MID16,#0ea122
MID35,#fcbb2d
MID36,#0919ad
MID38,#1ba8e0
MID15,#0ea122
MID39,#fcbb2d
MID40,#0919ad
MID42,#1ba8e0
MID7,#0ea122
MID8,#0ea122
MID63,#fcbb2d
MID64,#0919ad
MID65,#e80707
MID66,#1ba8e0
MID9,#0ea122
MID10,#0ea122
MID67,#fcbb2d
MID68,#0919ad
MID69,#e80707
MID18,#1ba8e0
MID5,#0ea122
MID43,#fcbb2d
MID44,#0919ad
MID45,#e80707
MID46,#1ba8e0
MID6,#0ea122
MID47,#fcbb2d
MID48,#0919ad
MID49,#e80707
MID50,#1ba8e0
MID17,#0ea122
MID31,#fcbb2d
MID32,#0919ad
MID33,#e80707
MID34,#1ba8e0
